symbol,price,sector,type,name,rsi,fvg,fvg_has_volume,vwap_status,golden_cross,sma20_daily,sma50_daily,sma100_daily,timestamp,high_volume,is_signal,high_conviction,upcoming_events,sector_analysis
NXPI,287.13,Technology,technical,NXP Semiconductors N.V.,32.073469925117465,,False,Bearish (Below),True,308.51600189208983,267.8968002319336,242.91672897338867,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.6267158408442082), 'spy_ret': np.float64(-1.0498794436174737), 'outperforming': np.True_}"
NET,222.395,Technology,technical,"Cloudflare, Inc.",19.015745170492607,,False,Bearish (Below),True,228.39925003051758,215.5961001586914,202.9414505004883,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.6267158408442082), 'spy_ret': np.float64(-1.0498794436174737), 'outperforming': np.True_}"
GM,80.05,Consumer Cyclical,technical,General Motors Company,28.76714200956046,,False,Bearish (Below),False,79.70346488952637,78.03015319824219,78.36968605041504,2026-06-10 20:11,False,True,False,[],"{'name': 'Consumer Cyclical', 'etf': 'XLY', 'uptrend': np.False_, 'etf_ret': np.float64(-3.5421442294166465), 'spy_ret': np.float64(-1.0634229678161051), 'outperforming': np.False_}"
NOK,13.53,Technology,technical,Nokia Oyj,23.239172618731033,,False,Bearish (Below),True,14.943000030517577,12.517600040435791,10.003900012969972,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.535389548095103), 'spy_ret': np.float64(-1.0877649307225588), 'outperforming': np.True_}"
COHR,357.465,Technology,technical,Coherent Corp.,29.893540370766445,,False,Bearish (Below),True,382.15124969482423,341.70330200195315,289.42335067749025,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.535389548095103), 'spy_ret': np.float64(-1.0877649307225588), 'outperforming': np.True_}"
RKLB,107.13,Industrials,technical,Rocket Lab Corporation,33.517575991089615,,False,Bearish (Below),True,126.98999900817871,99.03239959716797,86.37580005645752,2026-06-10 20:11,False,True,False,[],"{'name': 'Industrials', 'etf': 'XLI', 'uptrend': np.False_, 'etf_ret': np.float64(-1.8984873538906453), 'spy_ret': np.float64(-1.0939082997577132), 'outperforming': np.False_}"
F,14.445,Consumer Cyclical,technical,Ford Motor Company,30.58522266622309,,False,Bearish (Below),True,14.888749885559083,13.177884197235107,13.012323684692383,2026-06-10 20:11,False,True,False,[],"{'name': 'Consumer Cyclical', 'etf': 'XLY', 'uptrend': np.False_, 'etf_ret': np.float64(-3.5421442294166465), 'spy_ret': np.float64(-1.0939082997577132), 'outperforming': np.False_}"
STM,70.79,Technology,technical,STMicroelectronics N.V.,32.77432605105217,,False,Bearish (Below),True,69.12299995422363,55.647399978637694,43.70026107788086,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.5525121393162302), 'spy_ret': np.float64(-1.0864419979559035), 'outperforming': np.True_}"
ODFL,234.45,Industrials,technical,"Old Dominion Freight Line, Inc.",29.704749608973785,,False,Bullish (Above),True,220.89767150878907,212.72183227539062,200.97718887329103,2026-06-10 20:11,False,True,False,[],"{'name': 'Industrials', 'etf': 'XLI', 'uptrend': np.False_, 'etf_ret': np.float64(-1.904219792368453), 'spy_ret': np.float64(-1.0939082997577132), 'outperforming': np.False_}"
MT,64.17,Basic Materials,technical,ArcelorMittal S.A.,25.587443177969973,,False,Bearish (Below),True,66.43049964904785,61.84804794311523,59.366440811157226,2026-06-10 20:11,True,True,False,[],"{'name': 'Basic Materials', 'etf': 'XLB', 'uptrend': np.False_, 'etf_ret': np.float64(-3.970080013532152), 'spy_ret': np.float64(-1.0878062723715165), 'outperforming': np.False_}"
HPE,45.9,Technology,technical,Hewlett Packard Enterprise Company,24.466929206276006,,False,Bearish (Below),True,41.601000213623045,32.983800086975094,27.436847457885744,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.5639301032485282), 'spy_ret': np.float64(-1.085251358465914), 'outperforming': np.True_}"
ON,109.815,Technology,technical,ON Semiconductor Corporation,27.63569932973637,,False,Bearish (Below),True,118.76124992370606,99.00189979553222,81.15434982299804,2026-06-10 20:11,False,True,False,[],
FLEX,140.23,Technology,technical,Flex Ltd.,32.02392612662618,,False,Bearish (Below),True,144.00400047302247,112.18099990844726,88.17159980773926,2026-06-10 20:11,False,True,False,[],
